districtid,timeid,cases
AP_Anantapur,1,3
AP_Anantapur,2,149
AP_Anantapur,3,285
AP_Anantapur,4,2887
AP_Anantapur,5,22407
AP_Anantapur,6,21851
AP_Anantapur,7,13088
AP_Anantapur,8,5026
AP_Anantapur,9,1267
AP_Anantapur,10,546
AP_Anantapur,11,201
AP_Anantapur,12,143
AP_Anantapur,13,1212
AP_Anantapur,14,27707
AP_Anantapur,15,48457
AP_Anantapur,16,9523
AP_Anantapur,17,1776
AP_Anantapur,18,277
AP_Chittoor,1,3
AP_Chittoor,2,119
AP_Chittoor,3,203
AP_Chittoor,4,2323
AP_Chittoor,5,15666
AP_Chittoor,6,28135
AP_Chittoor,7,23140
AP_Chittoor,8,11262
AP_Chittoor,9,3579
AP_Chittoor,10,2080
AP_Chittoor,11,595
AP_Chittoor,12,635
AP_Chittoor,13,4445
AP_Chittoor,14,45563
AP_Chittoor,15,63561
AP_Chittoor,16,21647
AP_Chittoor,17,10096
AP_Chittoor,18,1799
AP_East Godavari,1,4
AP_East Godavari,2,68
AP_East Godavari,3,258
AP_East Godavari,4,2333
AP_East Godavari,5,31668
AP_East Godavari,6,38187
AP_East Godavari,7,32845
AP_East Godavari,8,13588
AP_East Godavari,9,3861
AP_East Godavari,10,1112
AP_East Godavari,11,414
AP_East Godavari,12,209
AP_East Godavari,13,1061
AP_East Godavari,14,34762
AP_East Godavari,15,79163
AP_East Godavari,16,28050
AP_East Godavari,17,12068
AP_East Godavari,18,2759
AP_Guntur,1,30
AP_Guntur,2,511
AP_Guntur,3,200
AP_Guntur,4,2420
AP_Guntur,5,20037
AP_Guntur,6,20091
AP_Guntur,7,16264
AP_Guntur,8,10301
AP_Guntur,9,3953
AP_Guntur,10,1383
AP_Guntur,11,524
AP_Guntur,12,240
AP_Guntur,13,4713
AP_Guntur,14,37898
AP_Guntur,15,35921
AP_Guntur,16,9600
AP_Guntur,17,5110
AP_Guntur,18,1439
AP_Krishna,1,6
AP_Krishna,2,415
AP_Krishna,3,291
AP_Krishna,4,1864
AP_Krishna,5,8276
AP_Krishna,6,9179
AP_Krishna,7,11529
AP_Krishna,8,10391
AP_Krishna,9,4507
AP_Krishna,10,1724
AP_Krishna,11,656
AP_Krishna,12,265
AP_Krishna,13,2861
AP_Krishna,14,16826
AP_Krishna,15,24337
AP_Krishna,16,10084
AP_Krishna,17,7227
AP_Krishna,18,1233
AP_Kurnool,1,4
AP_Kurnool,2,769
AP_Kurnool,3,281
AP_Kurnool,4,2533
AP_Kurnool,5,26047
AP_Kurnool,6,20730
AP_Kurnool,7,7748
AP_Kurnool,8,1828
AP_Kurnool,9,558
AP_Kurnool,10,336
AP_Kurnool,11,182
AP_Kurnool,12,99
AP_Kurnool,13,1564
AP_Kurnool,14,28633
AP_Kurnool,15,26904
AP_Kurnool,16,4334
AP_Kurnool,17,1077
AP_Kurnool,18,127
AP_Prakasam,1,13
AP_Prakasam,2,71
AP_Prakasam,3,36
AP_Prakasam,4,1073
AP_Prakasam,5,8156
AP_Prakasam,6,24279
AP_Prakasam,7,20419
AP_Prakasam,8,6528
AP_Prakasam,9,1119
AP_Prakasam,10,406
AP_Prakasam,11,106
AP_Prakasam,12,35
AP_Prakasam,13,965
AP_Prakasam,14,18803
AP_Prakasam,15,29637
AP_Prakasam,16,11834
AP_Prakasam,17,7317
AP_Prakasam,18,1011
AP_S.P.S. Nellore,1,4
AP_S.P.S. Nellore,2,123
AP_S.P.S. Nellore,3,263
AP_S.P.S. Nellore,4,781
AP_S.P.S. Nellore,5,12940
AP_S.P.S. Nellore,6,26946
AP_S.P.S. Nellore,7,15349
AP_S.P.S. Nellore,8,4050
AP_S.P.S. Nellore,9,1259
AP_S.P.S. Nellore,10,505
AP_S.P.S. Nellore,11,159
AP_S.P.S. Nellore,12,150
AP_S.P.S. Nellore,13,1885
AP_S.P.S. Nellore,14,26925
AP_S.P.S. Nellore,15,30123
AP_S.P.S. Nellore,16,7486
AP_S.P.S. Nellore,17,6740
AP_S.P.S. Nellore,18,1685
