districtid,timeid,dose1,dose2
AP_Anantapur,1.0,0,0
AP_Anantapur,2.0,0,0
AP_Anantapur,3.0,0,0
AP_Anantapur,4.0,0,0
AP_Anantapur,5.0,0,0
AP_Anantapur,6.0,0,0
AP_Anantapur,7.0,0,0
AP_Anantapur,8.0,0,0
AP_Anantapur,9.0,0,0
AP_Anantapur,10.0,0,0
AP_Anantapur,11.0,12233,0
AP_Anantapur,12.0,33381,12611
AP_Anantapur,13.0,189200,16274
AP_Anantapur,14.0,205931,132068
AP_Anantapur,15.0,189091,34144
AP_Anantapur,16.0,314516,59205
AP_Anantapur,17.0,305661,277298
AP_Anantapur,18.0,114361,65746
AP_Chittoor,1.0,0,0
AP_Chittoor,2.0,0,0
AP_Chittoor,3.0,0,0
AP_Chittoor,4.0,0,0
AP_Chittoor,5.0,0,0
AP_Chittoor,6.0,0,0
AP_Chittoor,7.0,0,0
AP_Chittoor,8.0,0,0
AP_Chittoor,9.0,0,0
AP_Chittoor,10.0,0,0
AP_Chittoor,11.0,22899,0
AP_Chittoor,12.0,46618,18735
AP_Chittoor,13.0,226574,21592
AP_Chittoor,14.0,227314,141365
AP_Chittoor,15.0,223373,51072
AP_Chittoor,16.0,348219,61128
AP_Chittoor,17.0,336804,335413
AP_Chittoor,18.0,133790,11559
AP_East Godavari,1.0,0,0
AP_East Godavari,2.0,0,0
AP_East Godavari,3.0,0,0
AP_East Godavari,4.0,0,0
AP_East Godavari,5.0,0,0
AP_East Godavari,6.0,0,0
AP_East Godavari,7.0,0,0
AP_East Godavari,8.0,0,0
AP_East Godavari,9.0,0,0
AP_East Godavari,10.0,0,0
AP_East Godavari,11.0,34898,0
AP_East Godavari,12.0,47157,22906
AP_East Godavari,13.0,210265,26352
AP_East Godavari,14.0,201763,147793
AP_East Godavari,15.0,317193,56835
AP_East Godavari,16.0,506601,52124
AP_East Godavari,17.0,554376,229370
AP_East Godavari,18.0,55237,17093
AP_Guntur,1.0,0,0
AP_Guntur,2.0,0,0
AP_Guntur,3.0,0,0
AP_Guntur,4.0,0,0
AP_Guntur,5.0,0,0
AP_Guntur,6.0,0,0
AP_Guntur,7.0,0,0
AP_Guntur,8.0,0,0
AP_Guntur,9.0,0,0
AP_Guntur,10.0,0,0
AP_Guntur,11.0,15684,0
AP_Guntur,12.0,51692,16039
AP_Guntur,13.0,182173,29264
AP_Guntur,14.0,242512,105138
AP_Guntur,15.0,263525,72716
AP_Guntur,16.0,464094,77277
AP_Guntur,17.0,434848,240710
AP_Guntur,18.0,104007,51297
AP_Krishna,1.0,0,0
AP_Krishna,2.0,0,0
AP_Krishna,3.0,0,0
AP_Krishna,4.0,0,0
AP_Krishna,5.0,0,0
AP_Krishna,6.0,0,0
AP_Krishna,7.0,0,0
AP_Krishna,8.0,0,0
AP_Krishna,9.0,0,0
AP_Krishna,10.0,0,0
AP_Krishna,11.0,17710,0
AP_Krishna,12.0,40907,17341
AP_Krishna,13.0,201746,23600
AP_Krishna,14.0,232371,133598
AP_Krishna,15.0,301692,76564
AP_Krishna,16.0,481201,89187
AP_Krishna,17.0,394582,193217
AP_Krishna,18.0,86052,24082
AP_Kurnool,1.0,0,0
