districtid,dose1,dose2
AP_Anantapur,1364374,597346
AP_Chittoor,1565591,640864
AP_East Godavari,1927490,552473
AP_Guntur,1758535,592441
AP_Krishna,1756261,557589
AP_Kurnool,1242692,492628
AP_Prakasam,1231912,515791
AP_S.P.S. Nellore,1158076,528689
AP_Srikakulam,1028569,336972
AP_Visakhapatnam,1875574,623159
AP_Vizianagaram,921086,220017
AP_West Godavari,1642547,431963
AP_Y.S.R. Kadapa,1043434,395280
AR_Anjaw,10922,2549
AR_Changlang,75590,16906
AR_East Kameng,20421,6183
AR_East Siang,51321,16080
AR_Kamle,6199,1537
AR_Kra Daadi,5837,1741
AR_Kurung Kumey,8574,2847
AR_Lepa Rada,12956,4959
AR_Lohit,27886,6710
AR_Longding,17969,3265
AR_Lower Dibang Valley,29726,8102
AR_Lower Siang,15692,4567
AR_Lower Subansiri,24812,8151
AR_Namsai,57846,12607
AR_Pakke Kessang,7668,2984
AR_Papum Pare,123257,38321
AR_Shi Yomi,6719,2298
AR_Siang,13877,4273
AR_Tawang,27675,9166
AR_Tirap,29015,5633
AR_Upper Dibang Valley,3915,1234
AR_Upper Siang,17475,6358
AR_Upper Subansiri,23099,7267
AR_West Kameng,49879,13683
AR_West Siang,32647,12316
AS_Baksa,263822,43318
AS_Barpeta,503553,133271
AS_Biswanath,342059,50926
AS_Bongaigaon,269597,57107
AS_Cachar,489044,101114
AS_Charaideo,199865,31684
AS_Chirang,151312,32751
AS_Darrang,280728,57463
AS_Dhemaji,279226,56455
AS_Dhubri,328637,73776
AS_Dibrugarh,556467,138516
AS_Dima Hasao,81926,21625
AS_Goalpara,293385,53550
AS_Golaghat,489257,88744
AS_Hailakandi,235569,43931
AS_Hojai,306933,68878
AS_Jorhat,503031,100117
AS_Kamrup,607960,144232
AS_Kamrup Metropolitan,1021908,312364
AS_Karbi Anglong,149963,37250
AS_Karimganj,283443,60499
AS_Kokrajhar,261219,51130
AS_Lakhimpur,437664,71887
AS_Majuli,102129,28372
AS_Morigaon,353676,51176
AS_Nagaon,607354,132272
AS_Nalbari,266558,51355
AS_Sivasagar,348789,65529
AS_Sonitpur,569789,135581
AS_South Salmara Mankachar,147101,8487
AS_Tinsukia,402046,81923
AS_Udalguri,221841,44498
AS_West Karbi Anglong,74202,13119
BR_Araria,567117,103824
BR_Arwal,213962,28476
BR_Aurangabad,541455,71363
