districtid,timeid,dose1,dose2
AP_Anantapur,1.0,0,0
AP_Anantapur,2.0,0,0
AP_Anantapur,3.0,0,0
AP_Anantapur,4.0,0,0
AP_Anantapur,5.0,0,0
AP_Anantapur,6.0,0,0
AP_Anantapur,7.0,0,0
AP_Anantapur,8.0,0,0
AP_Anantapur,9.0,0,0
AP_Anantapur,10.0,0,0
AP_Anantapur,11.0,0,0
AP_Anantapur,12.0,0,0
AP_Anantapur,13.0,0,0
AP_Anantapur,14.0,0,0
AP_Anantapur,15.0,0,0
AP_Anantapur,16.0,0,0
AP_Anantapur,17.0,0,0
AP_Anantapur,18.0,0,0
AP_Anantapur,19.0,0,0
AP_Anantapur,20.0,0,0
AP_Anantapur,21.0,0,0
AP_Anantapur,22.0,0,0
AP_Anantapur,23.0,0,0
AP_Anantapur,24.0,0,0
AP_Anantapur,25.0,0,0
AP_Anantapur,26.0,0,0
AP_Anantapur,27.0,0,0
AP_Anantapur,28.0,0,0
AP_Anantapur,29.0,0,0
AP_Anantapur,30.0,0,0
AP_Anantapur,31.0,0,0
AP_Anantapur,32.0,0,0
AP_Anantapur,33.0,0,0
AP_Anantapur,34.0,0,0
AP_Anantapur,35.0,0,0
AP_Anantapur,36.0,0,0
AP_Anantapur,37.0,0,0
AP_Anantapur,38.0,0,0
AP_Anantapur,39.0,0,0
AP_Anantapur,40.0,0,0
AP_Anantapur,41.0,0,0
AP_Anantapur,42.0,0,0
AP_Anantapur,43.0,0,0
AP_Anantapur,44.0,287,0
AP_Anantapur,45.0,3802,0
AP_Anantapur,46.0,3115,0
AP_Anantapur,47.0,5029,0
AP_Anantapur,48.0,3090,730
AP_Anantapur,49.0,7823,6535
AP_Anantapur,50.0,12487,2936
AP_Anantapur,51.0,5747,1603
AP_Anantapur,52.0,11607,1665
AP_Anantapur,53.0,36732,2275
AP_Anantapur,54.0,76134,8658
AP_Anantapur,55.0,41180,2254
AP_Anantapur,56.0,56584,3931
AP_Anantapur,57.0,36573,2764
AP_Anantapur,58.0,63040,33895
AP_Anantapur,59.0,49088,38962
AP_Anantapur,60.0,28427,54745
AP_Anantapur,61.0,4609,11140
AP_Anantapur,62.0,5383,5770
AP_Anantapur,63.0,117444,7162
AP_Anantapur,64.0,60972,8832
AP_Anantapur,65.0,50427,8729
AP_Anantapur,66.0,25728,736
AP_Anantapur,67.0,122622,21682
AP_Anantapur,68.0,105115,28536
AP_Anantapur,69.0,19108,979
AP_Anantapur,70.0,85573,93324
AP_Anantapur,71.0,29879,59407
AP_Anantapur,72.0,84350,66175
AP_Anantapur,73.0,107455,64406
AP_Anantapur,74.0,104964,59515
AP_Chittoor,1.0,0,0
AP_Chittoor,2.0,0,0
AP_Chittoor,3.0,0,0
AP_Chittoor,4.0,0,0
AP_Chittoor,5.0,0,0
AP_Chittoor,6.0,0,0
AP_Chittoor,7.0,0,0
AP_Chittoor,8.0,0,0
AP_Chittoor,9.0,0,0
AP_Chittoor,10.0,0,0
AP_Chittoor,11.0,0,0
AP_Chittoor,12.0,0,0
AP_Chittoor,13.0,0,0
AP_Chittoor,14.0,0,0
AP_Chittoor,15.0,0,0
AP_Chittoor,16.0,0,0
AP_Chittoor,17.0,0,0
