,District_Key,edge_1,edge_2,edge_3,edge_4,edge_5,edge_6,edge_7,edge_8,edge_9,edge_10,edge_11,edge_12,edge_13,edge_14
0,AP_Anantapur,AP_Chittoor,KA_Chikkaballapura,AP_Kurnool,AP_Y.S.R. Kadapa,KA_Ballari,KA_Chitradurga,KA_Tumakuru,,,,,,,
1,AP_Chittoor,AP_Anantapur,AP_S.P.S. Nellore,AP_Y.S.R. Kadapa,KA_Chikkaballapura,KA_Kolar,TN_Krishnagiri,TN_Thiruvallur,TN_Vellore,,,,,,
2,AP_East Godavari,AP_Visakhapatnam,AP_West Godavari,CT_Sukma,OR_Malkangiri,TG_Bhadradri Kothagudem,,,,,,,,,
3,AP_Guntur,AP_Krishna,TG_Suryapet,TG_Nalgonda,AP_Prakasam,TG_Nagarkurnool,,,,,,,,,
4,AP_Krishna,AP_West Godavari,AP_Guntur,TG_Khammam,TG_Suryapet,,,,,,,,,,
5,AP_Kurnool,KA_Raichur,AP_Anantapur,TG_Jogulamba Gadwal,TG_Wanaparthy,AP_Prakasam,AP_Y.S.R. Kadapa,KA_Ballari,TG_Nagarkurnool,,,,,,
6,AP_Prakasam,AP_Kurnool,AP_Guntur,AP_Y.S.R. Kadapa,AP_S.P.S. Nellore,TG_Nagarkurnool,,,,,,,,,
7,AP_S.P.S. Nellore,AP_Chittoor,AP_Y.S.R. Kadapa,TN_Thiruvallur,AP_Prakasam,,,,,,,,,,
8,AP_Srikakulam,OR_Gajapati,OR_Rayagada,AP_Vizianagaram,OR_Ganjam,,,,,,,,,,
9,AP_Visakhapatnam,AP_East Godavari,OR_Malkangiri,AP_Vizianagaram,OR_Koraput,,,,,,,,,,
10,AP_Vizianagaram,OR_Rayagada,AP_Visakhapatnam,AP_Srikakulam,OR_Koraput,,,,,,,,,,
11,AP_West Godavari,AP_East Godavari,AP_Krishna,TG_Bhadradri Kothagudem,TG_Khammam,,,,,,,,,,
12,AP_Y.S.R. Kadapa,AP_Chittoor,AP_Anantapur,AP_Kurnool,AP_Prakasam,AP_S.P.S. Nellore,,,,,,,,,
13,AR_Anjaw,AR_Changlang,AR_Lohit,,,,,,,,,,,,
14,AR_Changlang,AS_Tinsukia,AR_Anjaw,AR_Lohit,AR_Namsai,AR_Tirap,,,,,,,,,
15,AR_East Kameng,AR_Tawang,AR_Pakke Kessang,AR_West Kameng,AR_Kurung Kumey,AR_Papum Pare,,,,,,,,,
16,AR_East Siang,AS_Dhemaji,AR_Upper Siang,AS_Tinsukia,AR_Lower Dibang Valley,AR_Lower Siang,AR_Siang,,,,,,,,
17,AR_Kamle,AS_Dhemaji,AR_Lower Subansiri,AR_Kra Daadi,AR_Lower Siang,AR_Papum Pare,AR_Upper Subansiri,AS_Lakhimpur,,,,,,,
18,AR_Kra Daadi,AR_Lower Subansiri,AR_Kurung Kumey,AR_Kamle,AR_Papum Pare,AR_Upper Subansiri,,,,,,,,,
19,AR_Kurung Kumey,AR_East Kameng,AR_Kra Daadi,AR_Papum Pare,AR_Upper Subansiri,,,,,,,,,,
20,AR_Lepa Rada,AR_West Siang,AR_Lower Siang,AR_Upper Subansiri,,,,,,,,,,,
21,AR_Lohit,AS_Tinsukia,AR_Anjaw,AR_Changlang,AR_Namsai,AR_Lower Dibang Valley,,,,,,,,,
22,AR_Longding,AS_Dibrugarh,AR_Tirap,AS_Charaideo,NL_Mon,,,,,,,,,,
23,AR_Lower Dibang Valley,AS_Dhemaji,AR_Upper Siang,AS_Tinsukia,AR_Upper Dibang Valley,AR_East Siang,AR_Lohit,,,,,,,,
24,AR_Lower Siang,AS_Dhemaji,AR_West Siang,AR_Lepa Rada,AR_Kamle,AR_East Siang,AR_Siang,AR_Upper Subansiri,,,,,,,
25,AR_Lower Subansiri,AR_Kamle,AR_Kra Daadi,AR_Papum Pare,,,,,,,,,,,
