,stateid,timeid,dose1,dose2
0,AP,1.0,0,0
1,AP,2.0,0,0
2,AP,3.0,0,0
3,AP,4.0,0,0
4,AP,5.0,0,0
5,AP,6.0,0,0
6,AP,7.0,0,0
7,AP,8.0,0,0
8,AP,9.0,0,0
9,AP,10.0,0,0
10,AP,11.0,249205,0
11,AP,12.0,475835,210304
12,AP,13.0,2294967,266056
13,AP,14.0,2416585,1497848
14,AP,15.0,2993295,609526
15,AP,16.0,4892398,770770
16,AP,17.0,3997267,2716247
17,AP,18.0,1196589,414461
18,AR,1.0,0,0
19,AR,2.0,0,0
20,AR,3.0,0,0
21,AR,4.0,0,0
22,AR,5.0,0,0
23,AR,6.0,0,0
24,AR,7.0,0,0
25,AR,8.0,0,0
26,AR,9.0,0,0
27,AR,10.0,0,0
28,AR,11.0,9292,0
29,AR,12.0,31735,10860
30,AR,13.0,52079,16431
31,AR,14.0,114640,42603
32,AR,15.0,98276,8785
33,AR,16.0,259801,22626
34,AR,17.0,120163,81078
35,AR,18.0,14991,17354
36,AS,1.0,0,0
37,AS,2.0,0,0
38,AS,3.0,0,0
39,AS,4.0,0,0
40,AS,5.0,0,0
41,AS,6.0,0,0
42,AS,7.0,0,0
43,AS,8.0,0,0
44,AS,9.0,0,0
45,AS,10.0,0,0
46,AS,11.0,80284,0
47,AS,12.0,328283,68311
48,AS,13.0,773137,155059
49,AS,14.0,1164614,433169
50,AS,15.0,1187914,198926
51,AS,16.0,2868244,462564
52,AS,17.0,3573672,793649
53,AS,18.0,1453905,331222
54,BR,1.0,0,0
55,BR,2.0,0,0
56,BR,3.0,0,0
57,BR,4.0,0,0
58,BR,5.0,0,0
59,BR,6.0,0,0
60,BR,7.0,0,0
61,BR,8.0,0,0
62,BR,9.0,0,0
63,BR,10.0,0,0
64,BR,11.0,335765,0
65,BR,12.0,512201,233047
66,BR,13.0,2815745,269045
67,BR,14.0,2640687,976266
68,BR,15.0,2973238,378743
69,BR,16.0,5835432,639931
70,BR,17.0,7386238,1797186
71,BR,18.0,2668072,565049
72,CH,1.0,0,0
73,CH,2.0,0,0
74,CH,3.0,0,0
75,CH,4.0,0,0
76,CH,5.0,0,0
77,CH,6.0,0,0
78,CH,7.0,0,0
79,CH,8.0,0,0
80,CH,9.0,0,0
81,CH,10.0,0,0
82,CH,11.0,3858,0
83,CH,12.0,27931,4119
84,CH,13.0,57593,12314
85,CH,14.0,98063,46563
86,CH,15.0,120681,12231
87,CH,16.0,167950,29432
88,CH,17.0,203818,108243
89,CH,18.0,53685,31449
90,CT,1.0,0,0
91,CT,2.0,0,0
92,CT,3.0,0,0
93,CT,4.0,0,0
94,CT,5.0,0,0
95,CT,6.0,0,0
96,CT,7.0,0,0
97,CT,8.0,0,0
98,CT,9.0,0,0
99,CT,10.0,0,0
100,CT,11.0,152025,0
101,CT,12.0,423676,143458
102,CT,13.0,2708970,236638
103,CT,14.0,1607895,497383
104,CT,15.0,194280,249694
105,CT,16.0,2145220,603149
106,CT,17.0,1732306,774800
107,CT,18.0,308471,247936
108,DL,1.0,0,0
109,DL,2.0,0,0
110,DL,3.0,0,0
111,DL,4.0,0,0
112,DL,5.0,0,0
113,DL,6.0,0,0
114,DL,7.0,0,0
115,DL,8.0,0,0
116,DL,9.0,0,0
117,DL,10.0,0,0
118,DL,11.0,97495,0
119,DL,12.0,355645,84367
120,DL,13.0,1112432,247580
121,DL,14.0,1478886,529507
122,DL,15.0,1375139,456836
123,DL,16.0,2135254,647615
124,DL,17.0,1129220,909701
125,DL,18.0,566931,389395
126,DN,1.0,0,0
127,DN,2.0,0,0
128,DN,3.0,0,0
129,DN,4.0,0,0
130,DN,5.0,0,0
131,DN,6.0,0,0
132,DN,7.0,0,0
133,DN,8.0,0,0
134,DN,9.0,0,0
135,DN,10.0,0,0
136,DN,11.0,2255,0
137,DN,12.0,10020,2261
138,DN,13.0,39881,5875
139,DN,14.0,30410,12636
140,DN,15.0,120605,5313
141,DN,16.0,241049,28522
142,DN,17.0,131935,22834
143,DN,18.0,22225,12980
144,GA,1.0,0,0
145,GA,2.0,0,0
146,GA,3.0,0,0
147,GA,4.0,0,0
148,GA,5.0,0,0
149,GA,6.0,0,0
150,GA,7.0,0,0
151,GA,8.0,0,0
152,GA,9.0,0,0
153,GA,10.0,0,0
154,GA,11.0,7462,0
155,GA,12.0,35735,7914
156,GA,13.0,85231,19034
157,GA,14.0,180906,56060
158,GA,15.0,175837,13492
159,GA,16.0,403857,50576
160,GA,17.0,192271,141815
161,GA,18.0,31516,41018
162,GJ,1.0,0,0
163,GJ,2.0,0,0
164,GJ,3.0,0,0
165,GJ,4.0,0,0
166,GJ,5.0,0,0
167,GJ,6.0,0,0
168,GJ,7.0,0,0
169,GJ,8.0,0,0
170,GJ,9.0,0,0
171,GJ,10.0,0,0
172,GJ,11.0,468838,0
173,GJ,12.0,1207642,411502
174,GJ,13.0,5823174,562195
175,GJ,14.0,3176972,2230684
176,GJ,15.0,3682915,1122594
177,GJ,16.0,6826946,1826565
178,GJ,17.0,5791727,2498542
179,GJ,18.0,3241094,971437
180,HP,1.0,0,0
181,HP,2.0,0,0
182,HP,3.0,0,0
183,HP,4.0,0,0
184,HP,5.0,0,0
185,HP,6.0,0,0
186,HP,7.0,0,0
187,HP,8.0,0,0
188,HP,9.0,0,0
189,HP,10.0,0,0
190,HP,11.0,46948,0
191,HP,12.0,86950,48924
192,HP,13.0,554969,46361
193,HP,14.0,893496,236982
194,HP,15.0,382442,66936
195,HP,16.0,1221092,310696
196,HP,17.0,709741,547831
197,HP,18.0,765156,155881
198,HR,1.0,0,0
199,HR,2.0,0,0
200,HR,3.0,0,0
201,HR,4.0,0,0
202,HR,5.0,0,0
203,HR,6.0,0,0
204,HR,7.0,0,0
205,HR,8.0,0,0
206,HR,9.0,0,0
207,HR,10.0,0,0
208,HR,11.0,110589,0
209,HR,12.0,195730,88242
210,HR,13.0,1633404,90445
211,HR,14.0,1633867,535850
212,HR,15.0,1702778,311203
213,HR,16.0,2691510,623773
214,HR,17.0,1898592,1138447
215,HR,18.0,625636,403545
216,JH,1.0,0,0
217,JH,2.0,0,0
218,JH,3.0,0,0
219,JH,4.0,0,0
220,JH,5.0,0,0
221,JH,6.0,0,0
222,JH,7.0,0,0
223,JH,8.0,0,0
224,JH,9.0,0,0
225,JH,10.0,0,0
226,JH,11.0,92924,0
227,JH,12.0,280184,85757
228,JH,13.0,1421629,185305
229,JH,14.0,828678,281520
230,JH,15.0,1111645,172458
231,JH,16.0,2350006,475953
232,JH,17.0,1818643,673143
233,JH,18.0,617389,193121
234,JK,1.0,0,0
235,JK,2.0,0,0
236,JK,3.0,0,0
237,JK,4.0,0,0
238,JK,5.0,0,0
239,JK,6.0,0,0
240,JK,7.0,0,0
241,JK,8.0,0,0
242,JK,9.0,0,0
243,JK,10.0,0,0
244,JK,11.0,41543,0
245,JK,12.0,290352,37394
246,JK,13.0,662783,145034
247,JK,14.0,1241577,298803
248,JK,15.0,696049,88294
249,JK,16.0,1276842,225000
250,JK,17.0,966114,633596
251,JK,18.0,370967,145311
252,KA,1.0,0,0
253,KA,2.0,0,0
254,KA,3.0,0,0
255,KA,4.0,0,0
256,KA,5.0,0,0
257,KA,6.0,0,0
258,KA,7.0,0,0
259,KA,8.0,0,0
260,KA,9.0,0,0
261,KA,10.0,0,0
262,KA,11.0,308837,0
263,KA,12.0,416807,262981
264,KA,13.0,3937188,237147
265,KA,14.0,3439269,1436133
266,KA,15.0,3880309,814285
267,KA,16.0,7341260,1415983
268,KA,17.0,4566949,2630032
269,KA,18.0,1391133,648828
270,KL,1.0,0,0
271,KL,2.0,0,0
272,KL,3.0,0,0
273,KL,4.0,0,0
274,KL,5.0,0,0
275,KL,6.0,0,0
276,KL,7.0,0,0
277,KL,8.0,0,0
278,KL,9.0,0,0
279,KL,10.0,0,0
280,KL,11.0,238524,0
281,KL,12.0,514720,199334
282,KL,13.0,2631357,202400
283,KL,14.0,2054361,1126358
284,KL,15.0,1879256,351721
285,KL,16.0,2723900,1380848
286,KL,17.0,3333517,2300596
287,KL,18.0,1817348,293423
288,LA,1.0,0,0
289,LA,2.0,0,0
290,LA,3.0,0,0
291,LA,4.0,0,0
292,LA,5.0,0,0
293,LA,6.0,0,0
294,LA,7.0,0,0
295,LA,8.0,0,0
296,LA,9.0,0,0
297,LA,10.0,0,0
298,LA,11.0,1817,0
299,LA,12.0,17936,2299
300,LA,13.0,44150,5057
301,LA,14.0,19129,29132
302,LA,15.0,59911,838
303,LA,16.0,35185,22851
304,LA,17.0,10098,9148
305,LA,18.0,1309,3500
306,MH,1.0,0,0
307,MH,2.0,0,0
308,MH,3.0,0,0
309,MH,4.0,0,0
310,MH,5.0,0,0
311,MH,6.0,0,0
312,MH,7.0,0,0
313,MH,8.0,0,0
314,MH,9.0,0,0
315,MH,10.0,0,0
316,MH,11.0,420831,0
317,MH,12.0,1055545,295989
318,MH,13.0,6635779,580442
319,MH,14.0,5946769,2322979
320,MH,15.0,4802271,1471788
321,MH,16.0,8090320,2447633
322,MH,17.0,6205663,4282850
323,MH,18.0,1779004,931121
324,ML,1.0,0,0
325,ML,2.0,0,0
326,ML,3.0,0,0
327,ML,4.0,0,0
328,ML,5.0,0,0
329,ML,6.0,0,0
330,ML,7.0,0,0
331,ML,8.0,0,0
332,ML,9.0,0,0
333,ML,10.0,0,0
334,ML,11.0,5585,0
335,ML,12.0,45729,7144
336,ML,13.0,46890,29841
337,ML,14.0,177177,30922
338,ML,15.0,128380,6596
339,ML,16.0,280548,16393
340,ML,17.0,243038,130884
341,ML,18.0,41453,35579
342,MN,1.0,0,0
343,MN,2.0,0,0
344,MN,3.0,0,0
345,MN,4.0,0,0
346,MN,5.0,0,0
347,MN,6.0,0,0
348,MN,7.0,0,0
349,MN,8.0,0,0
350,MN,9.0,0,0
351,MN,10.0,0,0
352,MN,11.0,7085,0
353,MN,12.0,58436,6099
354,MN,13.0,21386,35090
355,MN,14.0,176705,25706
356,MN,15.0,169987,4100
357,MN,16.0,301759,10107
358,MN,17.0,410722,152173
359,MN,18.0,27806,33075
360,MP,1.0,0,0
361,MP,2.0,0,0
362,MP,3.0,0,0
363,MP,4.0,0,0
364,MP,5.0,0,0
365,MP,6.0,0,0
366,MP,7.0,0,0
367,MP,8.0,0,0
368,MP,9.0,0,0
369,MP,10.0,0,0
370,MP,11.0,333677,0
371,MP,12.0,548588,245740
372,MP,13.0,3767415,337748
373,MP,14.0,2551957,848952
374,MP,15.0,4097559,419631
375,MP,16.0,7688782,1646719
376,MP,17.0,9731640,2020449
377,MP,18.0,2945019,574389
378,MZ,1.0,0,0
379,MZ,2.0,0,0
380,MZ,3.0,0,0
381,MZ,4.0,0,0
382,MZ,5.0,0,0
383,MZ,6.0,0,0
384,MZ,7.0,0,0
385,MZ,8.0,0,0
386,MZ,9.0,0,0
387,MZ,10.0,0,0
388,MZ,11.0,9476,0
389,MZ,12.0,28974,9366
390,MZ,13.0,29031,10140
391,MZ,14.0,163684,27526
392,MZ,15.0,45154,4378
393,MZ,16.0,286045,18339
394,MZ,17.0,89064,134297
395,MZ,18.0,8681,13645
396,NL,1.0,0,0
397,NL,2.0,0,0
398,NL,3.0,0,0
399,NL,4.0,0,0
400,NL,5.0,0,0
401,NL,6.0,0,0
402,NL,7.0,0,0
403,NL,8.0,0,0
404,NL,9.0,0,0
405,NL,10.0,0,0
406,NL,11.0,4093,0
407,NL,12.0,30718,6226
408,NL,13.0,37527,19298
409,NL,14.0,99890,20865
410,NL,15.0,67340,5709
411,NL,16.0,246902,26402
412,NL,17.0,142652,77889
413,NL,18.0,10257,11551
414,OR,1.0,0,0
415,OR,2.0,0,0
416,OR,3.0,0,0
417,OR,4.0,0,0
418,OR,5.0,0,0
419,OR,6.0,0,0
420,OR,7.0,0,0
421,OR,8.0,0,0
422,OR,9.0,0,0
423,OR,10.0,0,0
424,OR,11.0,220314,0
425,OR,12.0,437787,208666
426,OR,13.0,2605276,233813
427,OR,14.0,1722410,674197
428,OR,15.0,1868948,386815
429,OR,16.0,3553738,1055340
430,OR,17.0,2983179,1512479
431,OR,18.0,1378269,353421
432,PB,1.0,0,0
433,PB,2.0,0,0
434,PB,3.0,0,0
435,PB,4.0,0,0
436,PB,5.0,0,0
437,PB,6.0,0,0
438,PB,7.0,0,0
439,PB,8.0,0,0
440,PB,9.0,0,0
441,PB,10.0,0,0
442,PB,11.0,64401,0
443,PB,12.0,177885,53001
444,PB,13.0,1188628,86948
445,PB,14.0,1842953,445925
446,PB,15.0,889261,213198
447,PB,16.0,1814718,513718
448,PB,17.0,1765763,797855
449,PB,18.0,662410,407988
450,PY,1.0,0,0
451,PY,2.0,0,0
452,PY,3.0,0,0
453,PY,4.0,0,0
454,PY,5.0,0,0
455,PY,6.0,0,0
456,PY,7.0,0,0
457,PY,8.0,0,0
458,PY,9.0,0,0
459,PY,10.0,0,0
460,PY,11.0,2886,0
461,PY,12.0,14022,2496
462,PY,13.0,62471,5871
463,PY,14.0,91950,30191
464,PY,15.0,63085,11547
465,PY,16.0,215068,37930
466,PY,17.0,117690,56804
467,PY,18.0,22512,7249
468,RJ,1.0,0,0
469,RJ,2.0,0,0
470,RJ,3.0,0,0
471,RJ,4.0,0,0
472,RJ,5.0,0,0
473,RJ,6.0,0,0
474,RJ,7.0,0,0
475,RJ,8.0,0,0
476,RJ,9.0,0,0
477,RJ,10.0,0,0
478,RJ,11.0,436384,0
479,RJ,12.0,1501097,356673
480,RJ,13.0,5830231,678192
481,RJ,14.0,3667462,1616554
482,RJ,15.0,3179980,605438
483,RJ,16.0,6877432,1188077
484,RJ,17.0,4981820,3700962
485,RJ,18.0,2057376,837663
486,SK,1.0,0,0
487,SK,2.0,0,0
488,SK,3.0,0,0
489,SK,4.0,0,0
490,SK,5.0,0,0
