,stateid,timeid,dose1,dose2
0,AP,1.0,0,0
1,AP,2.0,0,0
2,AP,3.0,0,0
3,AP,4.0,0,0
4,AP,5.0,0,0
5,AP,6.0,0,0
6,AP,7.0,0,0
7,AP,8.0,0,0
8,AP,9.0,0,0
9,AP,10.0,0,0
10,AP,11.0,0,0
11,AP,12.0,0,0
12,AP,13.0,0,0
13,AP,14.0,0,0
14,AP,15.0,0,0
15,AP,16.0,0,0
16,AP,17.0,0,0
17,AP,18.0,0,0
18,AP,19.0,0,0
19,AP,20.0,0,0
20,AP,21.0,0,0
21,AP,22.0,0,0
22,AP,23.0,0,0
23,AP,24.0,0,0
24,AP,25.0,0,0
25,AP,26.0,0,0
26,AP,27.0,0,0
27,AP,28.0,0,0
28,AP,29.0,0,0
29,AP,30.0,0,0
30,AP,31.0,0,0
31,AP,32.0,0,0
32,AP,33.0,0,0
33,AP,34.0,0,0
34,AP,35.0,0,0
35,AP,36.0,0,0
36,AP,37.0,0,0
37,AP,38.0,0,0
38,AP,39.0,0,0
39,AP,40.0,0,0
40,AP,41.0,0,0
41,AP,42.0,0,0
42,AP,43.0,0,0
43,AP,44.0,4216,0
44,AP,45.0,66164,0
45,AP,46.0,63191,0
46,AP,47.0,112367,0
47,AP,48.0,67569,6233
48,AP,49.0,100311,81237
49,AP,50.0,122137,50342
50,AP,51.0,117103,45307
51,AP,52.0,195605,54193
52,AP,53.0,445838,61917
53,AP,54.0,667934,73728
54,AP,55.0,604379,47066
55,AP,56.0,714537,101863
56,AP,57.0,728589,76034
57,AP,58.0,533378,528629
58,AP,59.0,631642,392788
59,AP,60.0,261632,454871
60,AP,61.0,48122,193005
61,AP,62.0,79646,180783
62,AP,63.0,1710375,133539
63,AP,64.0,956613,90939
64,AP,65.0,1025779,47528
65,AP,66.0,593828,32276
66,AP,67.0,2069992,254321
67,AP,68.0,1251921,361815
68,AP,69.0,299752,204683
69,AP,70.0,1035127,644884
70,AP,71.0,402582,537279
71,AP,72.0,1186472,917332
72,AP,73.0,1380322,567504
73,AP,74.0,1039018,345116
74,AR,1.0,0,0
75,AR,2.0,0,0
76,AR,3.0,0,0
77,AR,4.0,0,0
78,AR,5.0,0,0
79,AR,6.0,0,0
80,AR,7.0,0,0
81,AR,8.0,0,0
82,AR,9.0,0,0
83,AR,10.0,0,0
84,AR,11.0,0,0
85,AR,12.0,0,0
86,AR,13.0,0,0
87,AR,14.0,0,0
88,AR,15.0,0,0
89,AR,16.0,0,0
90,AR,17.0,0,0
91,AR,18.0,0,0
92,AR,19.0,0,0
93,AR,20.0,0,0
94,AR,21.0,0,0
95,AR,22.0,0,0
96,AR,23.0,0,0
97,AR,24.0,0,0
98,AR,25.0,0,0
99,AR,26.0,0,0
100,AR,27.0,0,0
101,AR,28.0,0,0
102,AR,29.0,0,0
103,AR,30.0,0,0
104,AR,31.0,0,0
105,AR,32.0,0,0
106,AR,33.0,0,0
107,AR,34.0,0,0
108,AR,35.0,0,0
109,AR,36.0,0,0
110,AR,37.0,0,0
111,AR,38.0,0,0
112,AR,39.0,0,0
113,AR,40.0,0,0
114,AR,41.0,0,0
115,AR,42.0,0,0
116,AR,43.0,0,0
117,AR,44.0,81,0
118,AR,45.0,2365,0
119,AR,46.0,4045,0
120,AR,47.0,2797,0
121,AR,48.0,3963,456
122,AR,49.0,6767,3764
123,AR,50.0,5885,2742
124,AR,51.0,11346,2690
125,AR,52.0,8860,2904
126,AR,53.0,10377,3944
127,AR,54.0,11366,3469
128,AR,55.0,10262,2651
129,AR,56.0,23642,6926
130,AR,57.0,32191,7263
131,AR,58.0,28718,9706
132,AR,59.0,27245,9099
133,AR,60.0,17836,14280
134,AR,61.0,11013,7987
135,AR,62.0,26396,191
136,AR,63.0,9292,198
137,AR,64.0,39729,330
138,AR,65.0,37188,429
139,AR,66.0,67181,593
140,AR,67.0,71623,1717
141,AR,68.0,64082,8122
142,AR,69.0,55752,22204
143,AR,70.0,37351,24789
144,AR,71.0,25971,22686
145,AR,72.0,17741,15395
146,AR,73.0,16958,8849
147,AR,74.0,12954,16353
148,AS,1.0,0,0
149,AS,2.0,0,0
150,AS,3.0,0,0
151,AS,4.0,0,0
152,AS,5.0,0,0
153,AS,6.0,0,0
154,AS,7.0,0,0
155,AS,8.0,0,0
156,AS,9.0,0,0
157,AS,10.0,0,0
158,AS,11.0,0,0
159,AS,12.0,0,0
160,AS,13.0,0,0
161,AS,14.0,0,0
162,AS,15.0,0,0
163,AS,16.0,0,0
164,AS,17.0,0,0
165,AS,18.0,0,0
166,AS,19.0,0,0
167,AS,20.0,0,0
168,AS,21.0,0,0
169,AS,22.0,0,0
170,AS,23.0,0,0
171,AS,24.0,0,0
172,AS,25.0,0,0
173,AS,26.0,0,0
174,AS,27.0,0,0
175,AS,28.0,0,0
176,AS,29.0,0,0
177,AS,30.0,0,0
178,AS,31.0,0,0
179,AS,32.0,0,0
180,AS,33.0,0,0
181,AS,34.0,0,0
182,AS,35.0,0,0
183,AS,36.0,0,0
184,AS,37.0,0,0
185,AS,38.0,0,0
186,AS,39.0,0,0
187,AS,40.0,0,0
188,AS,41.0,0,0
189,AS,42.0,0,0
190,AS,43.0,0,0
191,AS,44.0,401,0
192,AS,45.0,3660,0
193,AS,46.0,26512,0
194,AS,47.0,47925,0
195,AS,48.0,43552,2006
196,AS,49.0,31279,8584
197,AS,50.0,42047,17168
198,AS,51.0,148225,24810
199,AS,52.0,126257,31299
200,AS,53.0,87796,24516
201,AS,54.0,332813,33017
202,AS,55.0,140106,32003
203,AS,56.0,205557,76554
204,AS,57.0,59332,40762
205,AS,58.0,297490,122152
206,AS,59.0,427578,140664
207,AS,60.0,325788,103004
208,AS,61.0,285358,74338
209,AS,62.0,306857,46646
210,AS,63.0,308167,49656
211,AS,64.0,220749,20593
212,AS,65.0,374072,69556
213,AS,66.0,427672,138079
214,AS,67.0,1389486,127319
215,AS,68.0,643862,111854
216,AS,69.0,263231,50524
217,AS,70.0,671272,181569
218,AS,71.0,720674,184910
219,AS,72.0,751281,217665
220,AS,73.0,1480218,220949
221,AS,74.0,1240836,292703
222,BR,1.0,0,0
223,BR,2.0,0,0
224,BR,3.0,0,0
225,BR,4.0,0,0
226,BR,5.0,0,0
227,BR,6.0,0,0
228,BR,7.0,0,0
229,BR,8.0,0,0
230,BR,9.0,0,0
231,BR,10.0,0,0
232,BR,11.0,0,0
233,BR,12.0,0,0
234,BR,13.0,0,0
235,BR,14.0,0,0
236,BR,15.0,0,0
237,BR,16.0,0,0
238,BR,17.0,0,0
239,BR,18.0,0,0
240,BR,19.0,0,0
241,BR,20.0,0,0
242,BR,21.0,0,0
243,BR,22.0,0,0
244,BR,23.0,0,0
245,BR,24.0,0,0
246,BR,25.0,0,0
247,BR,26.0,0,0
248,BR,27.0,0,0
249,BR,28.0,0,0
250,BR,29.0,0,0
251,BR,30.0,0,0
252,BR,31.0,0,0
253,BR,32.0,0,0
254,BR,33.0,0,0
255,BR,34.0,0,0
256,BR,35.0,0,0
257,BR,36.0,0,0
258,BR,37.0,0,0
259,BR,38.0,0,0
260,BR,39.0,0,0
261,BR,40.0,0,0
262,BR,41.0,0,0
263,BR,42.0,0,0
264,BR,43.0,0,0
265,BR,44.0,2967,0
266,BR,45.0,35442,0
267,BR,46.0,67342,0
268,BR,47.0,224576,0
269,BR,48.0,121379,55
270,BR,49.0,67654,38347
271,BR,50.0,39961,39826
272,BR,51.0,84363,106740
273,BR,52.0,429095,107410
274,BR,53.0,379926,75699
275,BR,54.0,637591,40374
276,BR,55.0,672940,24127
277,BR,56.0,1190747,104666
278,BR,57.0,941202,145577
279,BR,58.0,585058,199000
280,BR,59.0,448482,237224
281,BR,60.0,375673,359313
282,BR,61.0,875670,211098
283,BR,62.0,612349,40111
284,BR,63.0,638997,43592
285,BR,64.0,652055,65897
286,BR,65.0,948946,67327
287,BR,66.0,1439227,131631
288,BR,67.0,2036374,137168
289,BR,68.0,1215113,220262
290,BR,69.0,1158201,278383
291,BR,70.0,1671900,436012
292,BR,71.0,1098865,293284
293,BR,72.0,1899663,487583
294,BR,73.0,2393761,508959
295,BR,74.0,2221859,459602
296,CH,1.0,0,0
297,CH,2.0,0,0
298,CH,3.0,0,0
299,CH,4.0,0,0
300,CH,5.0,0,0
301,CH,6.0,0,0
302,CH,7.0,0,0
303,CH,8.0,0,0
304,CH,9.0,0,0
305,CH,10.0,0,0
306,CH,11.0,0,0
307,CH,12.0,0,0
308,CH,13.0,0,0
309,CH,14.0,0,0
310,CH,15.0,0,0
311,CH,16.0,0,0
312,CH,17.0,0,0
313,CH,18.0,0,0
314,CH,19.0,0,0
315,CH,20.0,0,0
316,CH,21.0,0,0
317,CH,22.0,0,0
318,CH,23.0,0,0
319,CH,24.0,0,0
320,CH,25.0,0,0
321,CH,26.0,0,0
322,CH,27.0,0,0
323,CH,28.0,0,0
324,CH,29.0,0,0
325,CH,30.0,0,0
326,CH,31.0,0,0
327,CH,32.0,0,0
328,CH,33.0,0,0
329,CH,34.0,0,0
330,CH,35.0,0,0
331,CH,36.0,0,0
332,CH,37.0,0,0
333,CH,38.0,0,0
334,CH,39.0,0,0
335,CH,40.0,0,0
336,CH,41.0,0,0
337,CH,42.0,0,0
338,CH,43.0,0,0
339,CH,44.0,120,0
340,CH,45.0,670,0
341,CH,46.0,1416,0
342,CH,47.0,1652,0
343,CH,48.0,2851,117
344,CH,49.0,3670,629
345,CH,50.0,6548,894
346,CH,51.0,10599,1513
347,CH,52.0,10773,2549
348,CH,53.0,9532,3134
349,CH,54.0,7357,2411
350,CH,55.0,19340,2062
351,CH,56.0,22216,4955
352,CH,57.0,20990,7256
353,CH,58.0,20260,11207
354,CH,59.0,25605,12890
355,CH,60.0,23846,13379
356,CH,61.0,23717,10676
357,CH,62.0,26558,950
358,CH,63.0,27027,232
359,CH,64.0,38028,244
360,CH,65.0,22874,633
361,CH,66.0,47250,1427
362,CH,67.0,44405,4400
363,CH,68.0,39330,13394
364,CH,69.0,33578,20091
365,CH,70.0,48697,22202
366,CH,71.0,38004,30968
367,CH,72.0,45069,26949
368,CH,73.0,64627,23069
369,CH,74.0,46970,26120
370,CT,1.0,0,0
371,CT,2.0,0,0
372,CT,3.0,0,0
373,CT,4.0,0,0
374,CT,5.0,0,0
375,CT,6.0,0,0
376,CT,7.0,0,0
377,CT,8.0,0,0
378,CT,9.0,0,0
379,CT,10.0,0,0
380,CT,11.0,0,0
381,CT,12.0,0,0
382,CT,13.0,0,0
383,CT,14.0,0,0
384,CT,15.0,0,0
385,CT,16.0,0,0
386,CT,17.0,0,0
387,CT,18.0,0,0
388,CT,19.0,0,0
389,CT,20.0,0,0
390,CT,21.0,0,0
391,CT,22.0,0,0
392,CT,23.0,0,0
393,CT,24.0,0,0
394,CT,25.0,0,0
395,CT,26.0,0,0
396,CT,27.0,0,0
397,CT,28.0,0,0
398,CT,29.0,0,0
399,CT,30.0,0,0
400,CT,31.0,0,0
401,CT,32.0,0,0
402,CT,33.0,0,0
403,CT,34.0,0,0
404,CT,35.0,0,0
405,CT,36.0,0,0
406,CT,37.0,0,0
407,CT,38.0,0,0
408,CT,39.0,0,0
409,CT,40.0,0,0
410,CT,41.0,0,0
411,CT,42.0,0,0
412,CT,43.0,0,0
413,CT,44.0,1001,0
414,CT,45.0,10862,0
415,CT,46.0,44729,0
416,CT,47.0,95417,0
417,CT,48.0,94083,841
418,CT,49.0,92098,19581
419,CT,50.0,35240,30549
420,CT,51.0,133808,68503
421,CT,52.0,186249,70839
422,CT,53.0,376762,76392
423,CT,54.0,346289,37823
424,CT,55.0,868490,30943
425,CT,56.0,1394756,67377
426,CT,57.0,644864,86564
427,CT,58.0,332694,108307
428,CT,59.0,153667,140814
429,CT,60.0,81557,138946
430,CT,61.0,99283,193632
431,CT,62.0,33664,11220
432,CT,63.0,33832,11242
433,CT,64.0,23811,28498
434,CT,65.0,16590,26277
435,CT,66.0,20757,28275
436,CT,67.0,1015573,203500
437,CT,68.0,942359,262681
438,CT,69.0,324093,182849
439,CT,70.0,392510,146820
440,CT,71.0,370054,165567
441,CT,72.0,367534,164757
442,CT,73.0,483921,239660
443,CT,74.0,256296,210601
444,DL,1.0,0,0
445,DL,2.0,0,0
446,DL,3.0,0,0
447,DL,4.0,0,0
448,DL,5.0,0,0
449,DL,6.0,0,0
450,DL,7.0,0,0
451,DL,8.0,0,0
452,DL,9.0,0,0
453,DL,10.0,0,0
454,DL,11.0,0,0
455,DL,12.0,0,0
456,DL,13.0,0,0
457,DL,14.0,0,0
458,DL,15.0,0,0
459,DL,16.0,0,0
460,DL,17.0,0,0
461,DL,18.0,0,0
462,DL,19.0,0,0
463,DL,20.0,0,0
464,DL,21.0,0,0
465,DL,22.0,0,0
466,DL,23.0,0,0
467,DL,24.0,0,0
468,DL,25.0,0,0
469,DL,26.0,0,0
470,DL,27.0,0,0
471,DL,28.0,0,0
472,DL,29.0,0,0
473,DL,30.0,0,0
474,DL,31.0,0,0
475,DL,32.0,0,0
476,DL,33.0,0,0
477,DL,34.0,0,0
478,DL,35.0,0,0
479,DL,36.0,0,0
480,DL,37.0,0,0
481,DL,38.0,0,0
482,DL,39.0,0,0
483,DL,40.0,0,0
484,DL,41.0,0,0
485,DL,42.0,0,0
486,DL,43.0,0,0
487,DL,44.0,892,0
488,DL,45.0,11420,0
489,DL,46.0,32446,0
490,DL,47.0,52734,0
491,DL,48.0,80682,1967
492,DL,49.0,112963,16306
493,DL,50.0,76562,20459
494,DL,51.0,59191,29532
495,DL,52.0,71391,52494
496,DL,53.0,80893,70747
497,DL,54.0,99515,51811
498,DL,55.0,532730,38432
499,DL,56.0,493931,75593
500,DL,57.0,415749,94245
501,DL,58.0,274836,114710
502,DL,59.0,216007,145011
503,DL,60.0,432516,150147
504,DL,61.0,420102,185393
505,DL,62.0,472965,104987
