stateid,vaccinationratio
DL,3.2224026619649226
TG,3.9360696093231233
JH,5.057892251556128
AP,5.129828417390091
TN,5.447843455257611
HR,5.953967985179986
PB,6.4452668644020985
OR,6.488725844859196
KA,6.507592905795567
MH,6.587404138084597
WB,6.646351345080997
RJ,6.991658945835994
AS,7.006831531602256
UP,7.450197864090505
CT,7.701160974239662
MP,7.758749864247849
BR,7.8442210522377795
GJ,8.362065346344275
KL,8.880242240726723
UT,12.731979218387655
JK,26.31155848290836
TR,48.197015420828684
GA,51.16299081640032
CH,214.97393992932862
HP,1829.4027735905938
DN,14654.340425531915
AR,
LA,
ML,
MN,
MZ,
NL,
PY,
SK,
